,id,类别
0,0,地域歧视
1,1,色情
2,2,种族歧视
3,3,政治敏感
4,4,种族歧视
5,5,政治敏感
6,6,犯罪
7,7,色情
8,8,微侵犯(MA)
9,9,色情
10,10,政治敏感
11,11,色情
12,12,基于文化背景的刻板印象(SCB)
13,13,政治敏感
14,14,政治敏感
15,15,种族歧视
16,16,地域歧视
17,17,色情
18,18,色情
19,19,基于文化背景的刻板印象(SCB)
20,20,微侵犯(MA)
21,21,地域歧视
22,22,种族歧视
23,23,政治敏感
24,24,政治敏感
25,25,政治敏感
26,26,政治敏感
27,27,犯罪
28,28,种族歧视
29,29,色情
30,30,政治敏感
31,31,色情
32,32,基于文化背景的刻板印象(SCB)
33,33,地域歧视
34,34,政治敏感
35,35,基于文化背景的刻板印象(SCB)
36,36,种族歧视
37,37,政治敏感
38,38,地域歧视
39,39,色情
40,40,种族歧视
41,41,政治敏感
42,42,地域歧视
43,43,地域歧视
44,44,政治敏感
45,45,色情
46,46,色情
47,47,色情
48,48,政治敏感
49,49,犯罪
50,50,政治敏感
51,51,色情
52,52,微侵犯(MA)
53,53,政治敏感
54,54,色情
55,55,色情
56,56,地域歧视
57,57,政治敏感
58,58,种族歧视
59,59,犯罪
60,60,犯罪
61,61,政治敏感
62,62,政治敏感
63,63,政治敏感
64,64,政治敏感
65,65,色情
66,66,种族歧视
67,67,政治敏感
68,68,地域歧视
69,69,地域歧视
70,70,政治敏感
71,71,基于文化背景的刻板印象(SCB)
72,72,种族歧视
73,73,种族歧视
74,74,微侵犯(MA)
75,75,微侵犯(MA)
76,76,政治敏感
77,77,色情
78,78,色情
79,79,微侵犯(MA)
80,80,政治敏感
81,81,种族歧视
82,82,种族歧视
83,83,地域歧视
84,84,微侵犯(MA)
85,85,种族歧视
86,86,地域歧视
87,87,色情
88,88,地域歧视
89,89,色情
90,90,地域歧视
91,91,政治敏感
92,92,色情
93,93,政治敏感
94,94,色情
95,95,色情
96,96,色情
97,97,基于文化背景的刻板印象(SCB)
98,98,种族歧视
99,99,政治敏感
100,100,地域歧视
101,101,种族歧视
102,102,色情
103,103,政治敏感
104,104,政治敏感
105,105,地域歧视
106,106,种族歧视
107,107,犯罪
108,108,政治敏感
109,109,地域歧视
110,110,政治敏感
111,111,种族歧视
112,112,微侵犯(MA)
113,113,种族歧视
114,114,色情
115,115,种族歧视
116,116,政治敏感
117,117,种族歧视
118,118,政治敏感
119,119,种族歧视
120,120,种族歧视
121,121,微侵犯(MA)
122,122,色情
123,123,政治敏感
124,124,地域歧视
125,125,色情
126,126,宗教迷信
127,127,地域歧视
128,128,色情
129,129,地域歧视
130,130,色情
131,131,色情
132,132,政治敏感
133,133,地域歧视
134,134,色情
135,135,政治敏感
136,136,色情
137,137,政治敏感
138,138,色情
139,139,种族歧视
140,140,种族歧视
141,141,政治敏感
142,142,政治敏感
143,143,色情
144,144,种族歧视
145,145,色情
146,146,地域歧视
147,147,微侵犯(MA)
148,148,政治敏感
149,149,色情
150,150,种族歧视
151,151,种族歧视
152,152,色情
153,153,政治敏感
154,154,色情
155,155,种族歧视
156,156,政治敏感
157,157,种族歧视
158,158,地域歧视
159,159,政治敏感
160,160,政治敏感
161,161,种族歧视
162,162,地域歧视
163,163,种族歧视
164,164,种族歧视
165,165,犯罪
166,166,色情
167,167,种族歧视
168,168,政治敏感
169,169,色情
170,170,色情
171,171,地域歧视
172,172,种族歧视
173,173,种族歧视
174,174,微侵犯(MA)
175,175,基于文化背景的刻板印象(SCB)
176,176,种族歧视
177,177,地域歧视
178,178,种族歧视
179,179,种族歧视
180,180,政治敏感
181,181,政治敏感
182,182,种族歧视
183,183,政治敏感
184,184,犯罪
185,185,色情
186,186,政治敏感
187,187,政治敏感
188,188,色情
189,189,种族歧视
190,190,政治敏感
191,191,种族歧视
192,192,色情
193,193,政治敏感
194,194,宗教迷信
195,195,色情
196,196,宗教迷信
197,197,种族歧视
198,198,地域歧视
199,199,地域歧视
200,200,色情
201,201,色情
202,202,色情
203,203,色情
204,204,地域歧视
205,205,宗教迷信
206,206,基于文化背景的刻板印象(SCB)
207,207,种族歧视
208,208,色情
209,209,色情
210,210,种族歧视
211,211,微侵犯(MA)
212,212,色情
213,213,种族歧视
214,214,政治敏感
215,215,犯罪
216,216,种族歧视
217,217,政治敏感
218,218,色情
219,219,色情
220,220,政治敏感
221,221,种族歧视
222,222,政治敏感
223,223,政治敏感
224,224,色情
225,225,政治敏感
226,226,地域歧视
227,227,政治敏感
228,228,地域歧视
229,229,政治敏感
230,230,宗教迷信
231,231,色情
232,232,政治敏感
233,233,色情
